Filename,Formula,Notes,Num Elements,2c (1) CuTi-tP4,2c (2) CuTi-tP4
,,,,0.250 0.250 0.156(21) ,0.250 0.250 0.604(12) 
261228.cif,CuTi,tet1,2,Ti,Cu
261356.cif,AuTi,rt,2,Ti,Au
261470.cif,AgHf,,2,Hf,Ag
452031.cif,PdTa,rt,2,Pd,Ta
453064.cif,Cu0.96Ti1.04,tet1,2,Ti,Cu0.96Ti0.04
457415.cif,CuTi,tet1,2,Ti,Cu
457547.cif,CuTi,tet1,2,Ti,Cu
527049.cif,Ag1.5Hf0.5,,2,Ag0.5Hf0.5,Ag
527770.cif,AgZr,,2,Zr,Ag
528846.cif,AuHf,rt,2,Hf,Au
528849.cif,AuTi,rt,2,Ti,Au
528891.cif,AgHf,,2,Hf,Ag
545036.cif,PdTa,rt,2,Ta,Pd
1010265.cif,CuTi,tet1,2,Ti,Cu
1250957.cif,CuTi,tet1,2,Ti,Cu
1253940.cif,AlRe,rt,2,Al,Re
1501014.cif,CuTi,tet1,2,Ti,Cu
1503885.cif,FTl,ht,2,Tl,F
1815856.cif,Ag1.02Hf0.98,,2,Hf0.98Ag0.02,Ag
1826507.cif,AgZr,,2,Zr,Ag
1826520.cif,AgHf,,2,Hf,Ag